step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
273,60808,2184,0.047710459909091396,0.625,0.625,0.02835874367815753,0.75,0.75,,,,,,
274,61008,2192,0.044505871332560974,0.75,0.75,,,,,,,,,
275,61272,2200,0.040092239449732,0.5,0.5,,,,,,,,,
276,61408,2208,0.06886435498483479,0.625,0.625,,,,,,,,,
277,61544,2216,0.07713452049065382,0.375,0.375,,,,,,,,,
278,61744,2224,0.038708573027203486,0.875,0.875,,,,,,,,,
279,61944,2232,0.04466832449038823,0.75,0.75,,,,,,,,,
280,62272,2240,0.02665734493220225,0.875,0.875,,,,,,,,,
281,62408,2248,0.06502870544791221,0.75,0.75,0.04523816591128707,0.75,0.75,,,,,,
282,62544,2256,0.0628554394096136,0.75,0.75,,,,,,,,,
283,62808,2264,0.039591603938024494,0.5,0.5,,,,,,,,,
284,62944,2272,0.07124002120690419,0.625,0.625,,,,,,,,,
285,63144,2280,0.047377791473021104,0.75,0.75,,,,,,,,,
286,63344,2288,0.05711760296486318,0.5,0.5,,,,,,,,,
287,63480,2296,0.05536390349734575,0.875,0.875,,,,,,,,,
288,63680,2304,0.04415323118989666,0.625,0.625,,,,,,,,,
289,63944,2312,0.04179727211361751,0.375,0.375,0.04316822581924498,0.625,0.625,,,,,,
290,64272,2320,0.031571155211888254,0.375,0.375,,,,,,,,,
291,64472,2328,0.047457578242756426,0.75,0.75,,,,,,,,,
292,64736,2336,0.03548750906717032,0.375,0.375,,,,,,,,,
293,65000,2344,0.03119209897122346,0.75,0.75,,,,,,,,,
294,65200,2352,0.046606769260639946,0.5,0.5,,,,,,,,,
295,65464,2360,0.044198066527023905,0.375,0.375,,,,,,,,,
296,65856,2368,0.025629226915189065,0.625,0.625,,,,,,,,,
297,66184,2376,0.02799589014798403,0.75,0.75,0.04470744046072165,0.875,0.875,,,,,,
298,66320,2384,0.05408841621130705,0.75,0.75,,,,,,,,,
299,66456,2392,0.06300648467615247,0.625,0.625,,,,,,,,,
300,66720,2400,0.03215894085355103,0.625,0.625,,,,,,,,,
301,66920,2408,0.041237176905075716,0.75,0.75,,,,,,,,,
302,67120,2416,0.05509830961935223,0.625,0.625,,,,,,,,,
303,67320,2424,0.042887517324804024,0.75,0.75,,,,,,,,,
304,67584,2432,0.02925939214299433,0.875,0.875,,,,,,,,,
305,67784,2440,0.05155418235963832,0.5,0.5,0.048791730996842184,0.75,0.75,,,,,,
306,67984,2448,0.04606016532207529,0.75,0.75,,,,,,,,,
307,68248,2456,0.04202805340755731,0.75,0.75,,,,,,,,,
