step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
133,5082,266,0.062166407878200214,0.5,0.5,,,,,,,,,
134,5116,268,0.07142915043979883,0.5,0.5,,,,,,,,,
135,5134,270,0.07379333391785622,1.0,1.0,,,,,,,,,
136,5168,272,0.07363252885639666,1.0,1.0,,,,,,,,,
137,5202,274,0.045854391213506464,0.5,0.5,0.06166872617788613,0.5,0.5,,,,,,
138,5236,276,0.04133903477340937,1.0,1.0,,,,,,,,,
139,5254,278,0.13792895273305478,0.5,0.5,,,,,,,,,
140,5288,280,0.05397288072388619,0.5,0.5,,,,,,,,,
141,5322,282,0.08680343890562653,0.5,0.5,,,,,,,,,
142,5356,284,0.047200335338711735,0.5,0.5,,,,,,,,,
143,5390,286,0.04867225203663111,1.0,1.0,,,,,,,,,
144,5424,288,0.0688100662548095,1.0,1.0,,,,,,,,,
145,5458,290,0.04639232602901757,1.0,1.0,0.0799057580716908,0.5,0.5,,,,,,
146,5492,292,0.037185098212212324,1.0,1.0,,,,,,,,,
147,5526,294,0.1134473079815507,0.0,0.0,,,,,,,,,
148,5560,296,0.09201363739557565,0.5,0.5,,,,,,,,,
149,5594,298,0.0802082997187972,0.5,0.5,,,,,,,,,
150,5628,300,0.06665461614727974,0.5,0.5,,,,,,,,,
151,5678,302,0.05926905239621797,0.5,0.5,,,,,,,,,
152,5696,304,0.15736882895231247,0.0,0.0,,,,,,,,,
153,5730,306,0.07886400017887356,0.0,0.0,0.12282141663134097,0.0,0.0,,,,,,
154,5780,308,0.04374686613678932,0.5,0.5,,,,,,,,,
155,5814,310,0.04856482213363051,1.0,1.0,,,,,,,,,
156,5848,312,0.07381577488034965,0.5,0.5,,,,,,,,,
157,5882,314,0.09586088374257087,0.0,0.0,,,,,,,,,
158,5916,316,0.07536035142838954,0.5,0.5,,,,,,,,,
159,5950,318,0.03641449232585728,1.0,1.0,,,,,,,,,
160,5984,320,0.07128286965191363,0.0,0.0,,,,,,,,,
161,6034,322,0.04216339138957362,0.5,0.5,0.06664146315306424,0.5,0.5,,,,,,
162,6068,324,0.07455637194216252,0.5,0.5,,,,,,,,,
163,6118,326,0.04064818485639989,1.0,1.0,,,,,,,,,
164,6152,328,0.06544328231364488,0.5,0.5,,,,,,,,,
165,6186,330,0.06610340552404521,0.5,0.5,,,,,,,,,
166,6204,332,0.14281549040228128,0.5,0.5,,,,,,,,,
167,6238,334,0.06947608590126038,0.5,0.5,,,,,,,,,
168,6288,336,0.0731026142463088,0.0,0.0,,,,,,,,,
169,6338,338,0.051395293585956105,0.5,0.5,0.09070437448099256,0.0,0.0,,,,,,
